mso,payer,states,specialties,function,provider_action,confidence,source,notes
American Specialty Health,Cigna,TX|IL|WV|AK|AR|CO|MS|MO|OK|TN|WY|KS|KY|WI|NC|SC,physical_therapy|occupational_therapy|chiropractic|acupuncture,network_delegation,"In ASH-managed Cigna markets, credential/contract WITH ASH (ASHLink, CAQH global access to ASH), not through Cigna's direct credentialing portal. ASH is delegated for network management, credentialing, contract administration, UM/medical-necessity review, and claims.",verified,"Cigna+ASH State of Wyoming presentation (wyoleg.gov, 2023); Prime Credential 'Keeping Your Therapy Clinic In Network with Cigna and ASH'; APTA news 2023-05-26 (ASH expansion); AOTA 2025 site-of-care policy; PRWeb 2014 Cigna/ASH TX PT network launch","Phased rollout since ~2014 (TX first PT practitioner network); relationship spans 30+ years for chiro/acupuncture. 2025 expansion (Sep 1): AK, AR, CO, MS, MO, OK, TN, WY + certain counties in KS/KY/WI + expanded IL/WV; NC/SC added Nov 1, 2025. In the newest states the program begins as ASH medical-necessity/site-of-care review of PT/OT — check per-market whether full network delegation (credential-with-ASH) is live vs UM-only phase. States list above = markets named in fetched sources; the ASH-managed footprint is broader and grows; treat per-plan/per-market."
American Specialty Health,Kaiser Permanente (California - NCAL & SCAL),CA,chiropractic|acupuncture,network_delegation,"Credential with ASH (American Specialty Health Plans of California, Inc.). Kaiser's supplemental chiro/acupuncture benefit is fully administered by ASH Plans; Kaiser members access ASH's CA network (~2,900 chiropractors, ~2,600 acupuncturists).",verified,"healthy.kaiserpermanente.org chiropractic-and-acupuncture-plan; Kaiser EOC/benefit-summary PDFs 2024-2026 'Provided by American Specialty Health Plans of California, Inc. (ASH Plans)'","Applies to KP CA supplemental chiro/acu riders (CalPERS, UC, commercial groups). ASH Plans is a licensed CA specialty health plan."
American Specialty Health,Aetna (Individual Medicare Advantage supplemental benefits),ID|WA|OR,chiropractic|acupuncture|massage_therapy|naturopathy,network_delegation,"Credential with ASH (program is fully delegated: credentialing, claims, and patient management). Providers call ASH (888-511-2743) re: Aetna program participation.",verified,"Aetna OfficeLink Updates, Dec 2022: 'Idaho, Washington and Oregon: American Specialty Health provides Aetna with an Individual MA supplemental benefits program'","Aetna also has older ASH chiropractic administration relationships in AZ, CA, DC, DE, PA and 2011 Illinois HMO chiro (GlobeNewswire 2006, IL Chiropractic Society 2011) - treat those older-market rows as 'established' and confirm per plan before creating rules."
American Specialty Health,SCAN Health Plan (Medicare Advantage),CA,chiropractic|acupuncture|massage_therapy,network_delegation,Supplemental chiro/acupuncture/massage benefit administered through ASH network; credential with ASH to serve SCAN members for these benefits.,verified,"scanhealthplan.com 2026 supplemental benefits page (Chiro, Acupuncture & Massage Benefit); ASH Supplemental Benefits (go.ashcompanies.com)","SCAN also operates in AZ, NV, TX, NM - benefit availability by state/plan not verified this session (mark those states 'established' pending check)."
Optum Physical Health (OptumHealth Care Solutions),UnitedHealthcare,All,chiropractic|physical_therapy|occupational_therapy|speech_therapy|acupuncture,network_delegation,"Credential with Optum Physical Health (myoptumhealthphysicalhealth.com credentialing request; cred_ohcs@optum.com; 800-873-4575), not directly with UHC, for chiro and outpatient PT/OT/ST clinic participation. NCQA-accredited credentialing (URAC for PT/OT in CA entity).",verified,"myoptumhealthphysicalhealth.com (ProviderCredRequest + Credentialing FAQ); myoptumhealthphysicalhealthofca.com (Chiropractic, PT/OT pages); rushcredentialing.com 'What is Optum Physical Health'","National program but line-of-business applicability varies by market (commercial, MA, some Medicaid). California runs through the separate regulated entity OptumHealth Physical Health of California. Some UHC markets use Optum for UM only on therapy while network contracting stays direct - confirm per state/line when building rules."
Optum Behavioral Health (United Behavioral Health),UnitedHealthcare,All,behavioral_health|substance_use_disorder,network_delegation,"Credential with Optum Behavioral Health via Provider Express (providerexpress.com, 800-817-4705) using CAQH ProView; Optum handles BH network credentialing, contracting, UM, and authorizations on behalf of UHC. Acceptance subject to network-need review.",verified,providerexpress.com Join Our Network + UBH Credentialing Plan (2027 ed.); uhcprovider.com Join Our Network - Behavioral Health; behavehealth.com Optum BH guide,"Applies across UHC commercial, MA, and most Medicaid plans (state Medicaid carve-outs vary)."
Evolent (formerly NIA / Magellan Healthcare specialty),BlueCross BlueShield of South Carolina / BlueChoice HealthPlan,SC,physical_therapy|occupational_therapy|chiropractic|musculoskeletal,um_only,No credentialing change - providers stay credentialed directly with the BCBS plan. Evolent (NIA) performs prior authorization / medical specialty solutions review (RadMD submissions) for musculoskeletal and therapy services.,verified,southcarolinablues.com 'Evolent: Medical Specialty Solutions' PDF; bluechoicesc.com precertification page; RadMD BCBS-SC Med Spec Solutions provider training (Oct 2023),Pattern row: Evolent's physical-medicine programs are UM-only across its BCBS/regional-plan clients; they do NOT change where the provider credentials.
Evolent (formerly NIA),PA Health & Wellness (Centene),PA,physical_therapy|occupational_therapy|speech_therapy,um_only,"No credentialing change; Evolent manages therapy benefit review (retrospective/medical-necessity documentation model - PA not required in advance for therapy, records reviewed).",verified,pahealthwellness.com 'Evolent Health (formerly NIA)' provider resources page,
Evolent (formerly NIA),Blue Cross Complete of Michigan,MI,musculoskeletal|physical_therapy|imaging,um_only,No credentialing change; Evolent/NIA runs prior-authorization programs (RadMD).,verified,bcbsm.com Blue Cross Complete NIA FAQ PDF,
Carelon Behavioral Health (Elevance; formerly Beacon Health Options),Anthem / Elevance Health plans,CA|CO|CT|GA|IN|KY|ME|MO|NV|NH|NY|OH|VA|WI,behavioral_health|substance_use_disorder|eap,network_delegation,"Credential with Carelon Behavioral Health: CAQH profile authorizing Carelon + enrollment request via the Carelon Behavioral Health Payer Space in Availity (provider line 800-397-1630). Carelon handles BH network, UM, prior auth, concurrent review, and clinical appeals for Anthem members.",verified,carelonbehavioralhealth.com Join Our Provider Network + Anthem OH CommCare provider quick reference guide; behavehealth.com Anthem/Carelon guides,"States list = Anthem's 14 BCBS-licensed states (established); Carelon also serves numerous non-Anthem Medicaid/regional-plan BH contracts nationally. Some Anthem markets keep BH credentialing on Anthem paper with Carelon as UM only - confirm per market. Elevance's other Carelon units (Carelon Medical Benefits Management, formerly AIM) are UM-only for imaging/rehab/MSK - do not conflate with credentialing delegation."
