state,program_name,model,notes
AK,Alaska Medicaid (DenaliCare / Denali KidCare),ffs,"Pure fee-for-service; Alaska uses NO Medicaid MCOs (verified 2025 — geography, remote communities, and the tribal health system make managed care impractical). Providers enroll directly with Alaska Medicaid (Gainwell fiscal agent)."
AL,Alabama Medicaid (Alabama Coordinated Health Network / ACHN),ffs,"No full-risk capitated MCOs. Alabama Medicaid pays fee-for-service; ACHN is a PCCM-style care-coordination overlay across 7 regions (verified medicaid.alabama.gov, 2025-2026). Integrated Care Networks (ICN) exist for the long-term-care population. Providers enroll directly with Alabama Medicaid, not with commercial MCOs."
AR,Arkansas Medicaid — ARHOME (expansion) + PASSE + FFS core,hybrid,"Three-part structure (verified humanservices.arkansas.gov / medicaid.gov 2025): (1) traditional Medicaid stays largely FFS (ConnectCare PCCM); (2) ARHOME buys private QHP coverage for ~188k expansion adults through Arkansas Blue Cross Blue Shield and Ambetter (Arkansas Health & Wellness/Centene) — QualChoice historically qualified but current choice is between the two; (3) PASSE — full-risk provider-led plans for behavioral-health/IDD populations: Arkansas Total Care (Centene), Summit Community Care (Elevance), Empower Healthcare Solutions, and CareSource PASSE."
AZ,AHCCCS (Arizona Health Care Cost Containment System),managed_care,"Fully capitated managed care since 1982 — the oldest statewide Medicaid managed-care program. AHCCCS Complete Care (ACC) MCOs: Mercy Care (Aetna/CVS-administered), Banner–University Family Care, Arizona Complete Health–Complete Care Plan (Centene), Care1st Health Plan Arizona (Centene/WellCare), Health Choice Arizona (Blue Cross Blue Shield of Arizona), Molina Healthcare of Arizona, UnitedHealthcare Community Plan. ALTCS-EPD (long-term care) from Oct 2025: Mercy Care, Banner-University Care Advantage, UnitedHealthcare/APIPA, Arizona Complete Health (verified azahcccs.gov)."
CA,Medi-Cal,managed_care,"~94% of ~14M beneficiaries in managed care (DHCS); county-model system. 2024 procurement narrowed commercial plans to Anthem Blue Cross, Health Net (Centene), Molina, Blue Shield of California Promise, and Community Health Group; Kaiser holds a statewide direct contract. Large public/local plans dominate many counties: L.A. Care (~2.5M, largest US public plan), IEHP (~1.5M, Riverside/San Bernardino), CalOptima Health (Orange), CenCal, Central California Alliance for Health, Partnership HealthPlan, San Francisco Health Plan, Alameda Alliance, Kern Health Systems, Health Plan of San Joaquin, Gold Coast, Santa Clara Family. In LA County, Molina serves ~half of Health Net's Medi-Cal members via subcontract (verified DHCS/plan sources 2025)."
CO,Health First Colorado (Accountable Care Collaborative),hybrid,"ACC Phase III launched 2025-07-01 (verified via hcpf.colorado.gov). Managed FFS for physical health via PCCM-style Regional Accountable Entities (RAEs, e.g. Colorado Access, Colorado Community Health Alliance, Rocky Mountain Health Plans) plus capitated behavioral health through the RAEs. Only two full-risk capitated physical-health MCOs: Elevate Medicaid Choice (Denver Health Medical Plan) and Rocky Mountain Health Plans PRIME (UnitedHealthcare). ~99% of members are attributed to a RAE. Credentialing: most physical-health claims are FFS to the state fiscal agent; RAE network contracting is separate."
CT,HUSKY Health (Connecticut Medical Assistance Program),ffs,"Managed fee-for-service / self-insured ASO model since 2012 — Connecticut has NO capitated Medicaid MCOs (verified: CT ended MCO contracts with Aetna, UnitedHealthcare/AmeriChoice and CHNCT in 2011-2012). Community Health Network of Connecticut (CHNCT) is the medical ASO; behavioral health via a separate ASO (Carelon, legacy Beacon). Credentialing: providers enroll directly with DSS/CMAP, not with an MCO."
DE,Diamond State Health Plan / Diamond State Health Plan-Plus (1115 waiver),managed_care,"Mandatory MCO enrollment; DSHP-Plus covers LTSS. Three MCOs verified via dhss.delaware.gov and Healthcare Innovation: AmeriHealth Caritas Delaware, Highmark Health Options Delaware, and Delaware First Health (Centene, added Jan 2023). CHIP (Delaware Healthy Children Program) rides the same MCOs."
FL,Statewide Medicaid Managed Care (SMMC 3.0),managed_care,"SMMC 3.0 launched 2025-02-01 under 9 lettered regions (A-I), 6-year contracts (verified via flmedicaidmanagedcare.com, Florida Politics, Healthcare Dive). Original 2024 awards went to Sunshine State Health Plan (Centene), Humana Medical Plan, Simply Healthcare Plans (Elevance), Florida Community Care, and Community Care Plan (South Florida Community Care Network); after bid protests were settled, Aetna Better Health of Florida, Molina Healthcare of Florida, and UnitedHealthcare of Florida were added, so eight plans participate. Sunshine also holds statewide specialty contracts (Child Welfare, SMI, HIV/AIDS via sub-populations)."
GA,Georgia Families / Georgia Families 360 (foster care) / PeachCare for Kids,managed_care,"MAJOR TRANSITION VERIFIED: new CMO contracts went live 2026-07-01. Current CMOs: CareSource Georgia (only surviving incumbent), Humana Employers Health Plan of Georgia (Humana Healthy Horizons), Molina Healthcare of Georgia, and UnitedHealthcare of Georgia. Outgoing incumbents Amerigroup/Wellpoint (Elevance) and Peach State Health Plan (Centene) exited 2026-06-30 after their protests/appeals were denied (Jan 2026). ~2.2M members; >1.1M forced to change plans — expect heavy credentialing volume with the three new CMOs. Sources: Georgia Recorder, The Current GA, Becker's, acuity.news (2025-2026)."
