page_or_feature,state,audit_result,notes
Login (/login),Live,Pass,"Signs in, redirects to /home; invalid creds messaging present; session persists"
Home / Today (/home),Live,Fixed (B2),"Counts exact vs SQL (needs=10; launches-at-risk=2 w/ correct readiness); answers S1 in <10s. B2 fixed: error card + Retry now shown when queries fail — no more false 'You're caught up.'"
Providers work view (/providers),Live,Fixed (B2),"Chips now 33/10/22/1 match SQL exactly (B1 flipped Pollard/Medicare into awaiting); rollups + worst-first order verified; chip->list contract exact; error state now has a Retry button"
Cases work view (/cases),Live,Fixed (B2),"Same chips as /providers (shared workView.ts verified live); payer group order + UHC '6 needs action' correct; error state now has a Retry button"
Case detail (/cases/$id),Live,Pass,"S2 in 11 clicks/3.5s: touch payload+follow-up, status flip w/ required fields, status_history + 2 audit rows; notes save; no writes visible to billing"
Tasks in case detail + TaskDrawer,Live,Pass,"Sequential lock, complete w/ Undo, due dates visible, drawer 'Open full task page' works; Tasks LIST correctly absent with zero dead links"
Task detail (/tasks/$id),Live,Pass,"Reachable from TaskDrawer and Audit Log; write controls disabled for billing"
Launches list (/launches),Live,Fixed (B2),"Sections match splitLaunchSections on live data; NEW STATE only on Pelican; go-live nudge on Olathe; case counts correct; error state now has Retry and includes casesQ/providersQ failures"
Launch detail (/launches/$id),Live,Fixed (B4),"Renders correctly; B4 fixed: ?createCases=true deep link no longer opens the write dialog for billing (canWrite gate + internal guard)"
Generate cases (CreateCasesDialog),Live,Fixed (B3),"Routing order + pre-checks + 'Case exists' + facility_id + MSO ids verified on real payloads; B3 fixed: state-null templates (Medicare, Pre-Cred) now seed SOP tasks"
Assign provider / New Launch / Edit launch,Live,Pass,"Hidden from billing; internal canWrite guards added as defense-in-depth"
Provider create (/providers/new),Live,Fixed (B5),"Form works for writers; B5 fixed: allow-list guard + component redirect send billing to /providers even on a direct URL load"
Provider edit (/providers/$id/edit),Live,Fixed (B5),"Same B5 guard fix as /providers/new. Pre-existing wart unchanged: edit still drops facility assignments (not in scope)"
Provider detail (/providers/$id),Live,Pass,"Header actions canWrite-gated; NewCaseModal trigger hidden for billing; SSN masked last-4 only"
Client Progress (/progress),Live,Fixed (B6+B2),"Content correct ('3 of 36' reconciles; no pre-cred leak; Not Required omitted). B6 fixed: now in the sidebar main nav (one-click reachable). B2 fixed: error state + Retry added"
Reports (/reports),Live,Fixed (B2),"Contract-matrix (default) tab now has an error state + Retry; Summary/Matrix/Roster/Contract-list tabs unchanged; contract dialogs canWrite-gated"
Admin: Statuses,Live,Pass,"Location track present; read-only banner for non-admin (URL-reachable, no redirect — acceptable); all 44 statuses bucketed"
Admin: Templates (+detail),Live,Pass,"canEdit gates + disabled inputs; direct rpc call is a layering violation (fast-follow FF-A)"
Admin: MSO Routing / Payers / Users / Group & Locations / Audit Log,Live,Pass,"Read-only banners or hidden controls for non-admin; audit log links to case/provider/task entities"
Search (SearchDialog),Live,Pass,"Org-scoped via hooks; navigates to provider/case detail"
Priority engine (actionState.ts),Live,Fixed (B1),"SQL rebuild matches UI exactly. B1 fixed: Approved+null-effective now awaiting_effective (never complete), scoped to non-pre-cred via isPreCred input; live effect Pollard/Medicare"
Shared chips (workView.ts),Live,Pass,"Cross-pivot consistency proven live incl. after mutations, no manual refresh needed"
Launch logic (launchLocations.ts / launchReadiness.ts),Live,Pass,"Sections/nudge/NEW-STATE/readiness verified against live rows + unit tests"
Owner wording (ownerWording.ts),Live,Pass,"Label map + 'when' derivations verified on live statuses"
RLS / permissions (DB),Live,Pass,"All writer tables specialist/admin-only; touches/status_history/audit_log append-only by policy; create_case_with_tasks SECURITY INVOKER; billing writes 403 verified"
RLS helper hygiene,Live,Fixed (B7),"B7 fixed: rls_auto_enable() EXECUTE revoked from anon/authenticated/PUBLIC (migration applied + repo file); event trigger intact. Leaked-password protection still needs the dashboard toggle (owner action)"
Legacy launches table + providers.launch_id,Live,Pass (dormant),"Still in DB per additive rule; zero reads/writes in code (verified)"
user_table_prefs + services/tablePrefs.ts,Fixed (B8),Fixed,"tablePrefs.ts deleted (zero consumers); user_table_prefs remains as dead schema, noted in CLAUDE.md as droppable via sanctioned migration"
CI / gates,Live,Pass,"tsc clean; eslint 0 errors (12 pre-existing warnings); 58/58 vitest (2 added for B1); vite build clean; no console.log/TODO; no hardcoded secrets"
FF-C demo data hygiene,At-Risk,Held,"Live-customer data mutation deferred to owner sign-off: Douek/Medicare -> In-Network (cosmetic bar agreement) and Beeson case<->assignment location remap (ambiguous ownership). See BLOCKERS.md resolution log"
