state,rank,payer,payer_slug,as_reported,parent_org,payer_kind,lobs,approx_share_pct,share_basis,notes
AK,1,Premera Blue Cross,premera-blue-cross,Premera Blue Cross Blue Shield of Alaska,Premera Blue Cross,commercial,commercial,46,"Commercial market share, AMA Competition in Health Insurance study 2024 (2023 data)",Dominant commercial carrier and one of only two ACA marketplace insurers (statewide). Exited Medicare Advantage effective 2025 (verified Premera announcement); keeps Medigap. FEP rides its network.
AK,2,Aetna (CVS Health),aetna,Aetna,CVS Health,commercial,commercial,,"AlaskaCare TPA role verified (drb.alaska.gov, 2025-2026); covered-lives count unverified: model knowledge","Third-party administrator of AlaskaCare — the State of Alaska employee and retiree health plans — one of the largest covered populations in the state, plus national-account ASO."
AK,3,Moda Health,moda-health,,"Moda Health (Moda, Inc.)",commercial,commercial,,"Verified as the second of two AK individual/ACA insurers (Anchorage, Mat-Su, Kenai, Fairbanks, Southeast; healthinsurance.org 2026); total AK lives unverified",Oregon-based; individual market plus employer groups; members access the Aetna national network out of state.
AK,4,TRICARE West (TriWest),tricare-west,TriWest Healthcare Alliance (TRICARE West Region),TriWest Healthcare Alliance,tricare,tricare,,unverified: model knowledge — Alaska moved into the TRICARE West Region under TriWest with the T-5 contract (Jan 2025),"Large military population (JBER, Eielson AFB, Fort Wainwright). Alaska shifted from Health Net Federal Services to TriWest in 2025 — recredentialing/contract migration is a live credentialing issue."
AK,5,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial,,"unverified: model knowledge — ASO for multi-state employers (oil/gas, mining, transport) with AK-resident employees",No local plan entity; access via national network contracts.
AK,6,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial,,unverified: model knowledge — national-account ASO (incl. UMR) covering AK residents; no AK individual or MA products,ASO/network presence only.
AK,7,GEHA,geha,,Government Employees Health Association,commercial,commercial,,unverified: model knowledge — FEHB medical plan covering Alaska's large federal workforce; rents the UnitedHealthcare network in AK,"Alaska has no individual Medicare Advantage plans at all (2024-2026, verified healthinsurance.org) and no Medicaid MCOs, so the AK payer field is genuinely shorter than 10 meaningful medical payers — remaining volume is TPA/self-funded (e.g., EBMS, Pacific Health Coalition) rather than risk-bearing carriers."
AL,1,Blue Cross and Blue Shield of Alabama,blue-cross-and-blue-shield-of-alabama,,Blue Cross and Blue Shield of Alabama (independent licensee),commercial,commercial|medicare_advantage,86,"Commercial market share (fully-insured + ASO combined), AMA Competition in Health Insurance study 2024 (2023 data) — most concentrated commercial market in the US","Overwhelmingly dominant across employer group, individual, and FEP; Blue Advantage is its MA product. Nearly every AL practice must credential here first."
AL,2,UnitedHealthcare,unitedhealthcare,,UnitedHealth Group,commercial,commercial|medicare_advantage,,"unverified: model knowledge — distant #2 commercial (largely national-account ASO incl. UMR) plus one of the largest MA books in AL (AMA/KFF context, 2024-2025)",Commercial ASO plus large MA enrollment (incl. legacy Care Improvement Plus entity).
AL,3,VIVA Health,viva-health,,UAB Health System (University of Alabama at Birmingham),medicare_advantage,commercial|medicare_advantage,,Presence verified in Alabama MA carrier lists 2025; enrollment split unverified: model knowledge,Birmingham-based regional; major AL Medicare Advantage plan plus commercial HMO for employer groups. Provider network centers on UAB.
AL,4,Humana,humana,,Humana Inc.,medicare_advantage,medicare_advantage|tricare,,"Verified as leading AL MA carrier family (multiple Humana entities in AL MA carrier list, 2025); state-level share unverified","One of the two largest MA carriers in AL (57% of AL Medicare beneficiaries are in MA, KFF-cited 2025). Humana Military administers TRICARE East, which covers Alabama."
AL,5,Cigna Healthcare,cigna-healthcare,,The Cigna Group,commercial,commercial|medicare_advantage,,unverified: model knowledge — meaningful ASO book for large employers; HealthSpring legacy MA presence verified in 2025 AL carrier list,Note: Cigna's Medicare business was sold to HCSC (closed 2025); legacy HealthSpring MA plans in AL now sit under HCSC while the Cigna commercial book remains with The Cigna Group — credential both relationships carefully.
AL,6,Aetna (CVS Health),aetna,Aetna,CVS Health,commercial,commercial|medicare_advantage,,unverified: model knowledge — national-account ASO (incl. Meritain) plus MA (Aetna entities verified in AL MA carrier list 2025),Commercial self-funded plus growing MA.
