payer_slug,name,parent_org,payer_kind,lobs,states,state_count,aliases,clearinghouse_payer_id,payer_id_scope,stedi_slug,enrollment_required,id_source
unitedhealthcare,UnitedHealthcare,UnitedHealth Group,commercial|medicaid_mco|medicare_advantage,commercial|managed_medicaid|medicare_advantage,AK|AL|AR|AZ|CA|CO|CT|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NY|OH|OK|OR|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WI|WV|WY,49,"AARP Medicare Advantage|AARP Medicare Advantage (UHC)|AARP Medicare Advantage from UHC|Arizona Physicians IPA (APIPA)|Golden Rule Insurance (UHG)|Neighborhood Health Partnership|Oxford|Oxford Health Plans|Surest|UHC|UHC Community Plan for Families|UHC Community Plan of Florida|UHC Community Plan of Georgia|UHC Community Plan of Nebraska|UHC Community Plan of RI|UHC of California|UMR|UMR (ASO TPA)|UMR (ASO)|UMR (PEIA third-party administrator)|UMR (dominant WY self-funded TPA)|UnitedHealthcare Community Plan|UnitedHealthcare Community Plan (Apple Health)|UnitedHealthcare Community Plan (BadgerCare Plus)|UnitedHealthcare Community Plan (Medicaid)|UnitedHealthcare Community Plan of Hawaii|UnitedHealthcare Community Plan of Idaho|UnitedHealthcare Community Plan of Indiana|UnitedHealthcare Community Plan of Missouri|UnitedHealthcare Community Plan of NJ|UnitedHealthcare Community Plan of New Mexico|UnitedHealthcare Community Plan of North Carolina|UnitedHealthcare Community Plan of Ohio, Inc.|UnitedHealthcare Community Plan of Tennessee|UnitedHealthcare Community Plan of Texas|UnitedHealthcare Medicare Advantage|UnitedHealthcare of Colorado|UnitedHealthcare of Florida|UnitedHealthcare of Georgia|UnitedHealthcare of New England|UnitedHealthcare of New York|UnitedHealthcare of Wisconsin|UnitedHealthcare of the Mid-Atlantic|UnitedHealthcare of the Midlands",87726,national,united-healthcare,,Stedi search results (stedi.com/healthcare/network/united-healthcare indexed; Stedi Transaction Enrollment docs reference UHC payer ID 87726)
cigna-healthcare,Cigna Healthcare,The Cigna Group,commercial,commercial|medicare_advantage,AK|AL|AR|AZ|CA|CO|CT|DE|FL|GA|HI|IA|IL|IN|KS|KY|LA|MA|MD|ME|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WV|WY,45,"Allegiance (Cigna TPA)|Allegiance Benefit Plan Management (Cigna TPA, MT/WY self-funded)|Cigna|Cigna + Oscar (discontinued small-group product)|Cigna + Oscar (small group, historical)|Cigna + Oscar legacy small group|Cigna HealthSpring|Cigna HealthSpring (HCSC)|Cigna HealthSpring (legacy MA brand)|Cigna HealthSpring (legacy TN MA brand - MA business sold to HCSC 2025)|Cigna Medical Group legacy|Evernorth|Evernorth Behavioral Health|HealthSpring (legacy MA brand)|HealthSpring Life & Health",62308,national,,,Availity 837 PDF (CIGNA 62308); behavehealth.com/cigna-payer-id; Cigna 5010 837P companion guide surfaced in search
aetna,Aetna (CVS Health),CVS Health,commercial|medicaid_mco|medicare_advantage,commercial|managed_medicaid|medicare_advantage,AK|AL|AZ|CA|CO|CT|DE|FL|GA|IA|ID|IL|IN|KS|KY|LA|MD|ME|MI|MO|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|PA|RI|SC|SD|TN|TX|UT|VA|VT|WA|WV|WY,44,"Aetna Better Health (exited NY Medicaid)|Aetna Better Health (no CO Medicaid product)|Aetna Better Health (no WA Medicaid contract)|Aetna Better Health NJ|Aetna Better Health of Florida|Aetna Better Health of Illinois (formerly IlliniCare)|Aetna Better Health of Kansas (exited 12/31/2024)|Aetna Better Health of Kentucky|Aetna Better Health of Louisiana|Aetna Better Health of Maryland|Aetna Better Health of Michigan|Aetna Better Health of Ohio|Aetna Better Health of Oklahoma|Aetna Better Health of PA (exited HealthChoices 2022)|Aetna Better Health of Texas|Aetna Better Health of Virginia (Medicaid)|Aetna Better Health of West Virginia|Aetna Health of California|Aetna Medicare|AlaskaCare (Aetna-administered)|Banner|Aetna (JV)|CVS Aetna|Coventry/CoventryCares WV (legacy)|Innovation Health (Aetna-Inova JV, northern VA)|Meritain Health|Meritain Health (ASO)|NC State Health Plan (Aetna-administered 2025-2027)|OhioRISE (Aetna)",60054,national,aetna,,"Availity 837 PDF (AETNA INSURANCE COMPANY 60054); claim.md/payer/60054/Aetna.html; Stedi search summary (primary 60054, aliases 4500, 60054MA, 6400, 953402799, AETNA, Z95668)"
humana,Humana,Humana Inc.,medicare_advantage,commercial|managed_medicaid|medicare_advantage|tricare,AL|AR|AZ|CO|CT|DE|FL|GA|HI|IA|ID|IL|IN|KS|KY|LA|ME|MI|MN|MO|MS|MT|NC|ND|NE|NH|NM|NV|OH|OK|RI|SC|SD|TN|TX|VA|VT|WI|WV|WY,40,CarePlus Health Plans|CenterWell|Humana Employers Health Plan of Georgia|Humana Gold Plus|Humana Healthy Horizons|Humana Healthy Horizons in Florida|Humana Healthy Horizons in Georgia|Humana Healthy Horizons in Ohio|Humana Healthy Horizons in South Carolina|Humana Healthy Horizons in Virginia (Medicaid)|Humana Healthy Horizons of Oklahoma|Humana Honor|Humana Medical Plan|Humana Medicare|Humana Military (TRICARE East Region)|Humana Military (TRICARE East contractor covering CT)|Humana Military (TRICARE East contractor covering DE)|Humana Military (TRICARE East)|HumanaChoice|Independent Care Health Plan (iCare),61101,national,,,Availity 837 PDF (HUMANA 61101); claim.md/payer/61101/Humana.html
tricare-west,TRICARE West (TriWest),TriWest Healthcare Alliance,tricare,tricare,AK|HI|KS|MT|ND|NM|OK|SD|WY,9,TRICARE West|TriWest|VA CCN Region 4 (TriWest)|formerly Health Net Federal Services (through 2024),99726,per_region,,,quadax/TherapyNotes 2025 TRICARE contractor-change notices (TriWest claims payer ID 99726 for DOS on/after 2025-01-01)
oscar-health,Oscar Health,"Oscar Health, Inc.",commercial,commercial,FL|KS|MO|NE|NJ|TN,6,Oscar|Oscar Garden State|Oscar Insurance Company of Florida,OSCAR,national,,,claim.md/payer/OSCAR (Oscar Insurance); search summary also cites 'OSCAR' as the Change Healthcare ID
tricare-east,TRICARE East (Humana Military),Humana Inc.,tricare,tricare,AL|KY|MD|MS|RI|SC,6,Humana Gold Plus|TRICARE East,99727,per_region,,,Waystar payer ID update notice via clients.gmed.com (TREST -> 99727 for DOS on/after 2025-01-01); quadax 2025 TRICARE contractor-change blog
medica,Medica,Medica (Minneapolis-based nonprofit),commercial|medicare_advantage,commercial|managed_medicaid|medicare_advantage,IA|MN|ND|NE|SD,5,Medica DUAL Solution (MSHO)|Medica IFB|Medica Insurance Company|Medica with Essentia / Sanford co-branded products,94265,per_state,,,claim.md/payer/94265 surfaced in search; summary identified it as 'Medica UHC 94265'
devoted-health,Devoted Health,"Devoted Health, Inc.",medicare_advantage,medicare_advantage,AL|FL|NM|TN,4,Devoted Health Insurance Company of Alabama|Devoted Health Plan of New Mexico,DEVOT,national,,,"Availity 837 PDF (DEVOTED HEALTH DEVOT, Professional Claims, Enrollment Required N)"
harvard-pilgrim-health-care,Harvard Pilgrim Health Care (Point32Health),Point32Health,commercial,commercial,CT|ME|NH|RI,4,HPHC|Harvard Pilgrim Health Care of New England,04271,per_plan,,,claim.md/payer/04271 (Harvard Pilgrim Health Care); claim.md/payer/04298 (Tufts Health Plan); quickintell.com/payers/tufts-health-plan
